ENTITY,CODE,YEAR,NUMBER OF EXECUTIONS (AMNESTY INTERNATIONAL),DEATHS - MENINGITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEOPLASMS - SEX: BOTH - AGE: ALL AGES (NUMBER),"DEATHS - FIRE, HEAT, AND HOT SUBSTANCES - SEX: BOTH - AGE: ALL AGES (NUMBER)",DEATHS - MALARIA - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DROWNING - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - INTERPERSONAL VIOLENCE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - HIV/AIDS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DRUG USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - TUBERCULOSIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ROAD INJURIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - MATERNAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - LOWER RESPIRATORY INFECTIONS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEONATAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALCOHOL USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - EXPOSURE TO FORCES OF NATURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIARRHEAL DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ENVIRONMENTAL HEAT AND COLD EXPOSURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NUTRITIONAL DEFICIENCIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - SELF-HARM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CONFLICT AND TERRORISM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIABETES MELLITUS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - POISONINGS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PROTEIN-ENERGY MALNUTRITION - SEX: BOTH - AGE: ALL AGES (NUMBER),TERRORISM (DEATHS),DEATHS - CARDIOVASCULAR DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC KIDNEY DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC RESPIRATORY DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CIRRHOSIS AND OTHER CHRONIC LIVER DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIGESTIVE DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ACUTE HEPATITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALZHEIMER'S DISEASE AND OTHER DEMENTIAS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PARKINSON'S DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER)
India,IND,2012,1,53433.0,707505.0,24864.0,42686.0,66282.0,39520.0,101377.0,6023.0,461592.0,218869.0,55026.0,480048.0,614052.0,20471.0,335.0,761001.0,11672.0,51001.0,198142.0,1074.0,207229.0,4772.0,32879.0,264.0,2119847.0,178139.0,958036.0,247920.0,422871.0,53069.0,75330.0,30619.0
India,IND,2013,1,52065.0,739345.0,24815.0,32921.0,63122.0,39234.0,91805.0,6495.0,466722.0,213635.0,53088.0,485209.0,604279.0,20511.0,6562.0,738243.0,12197.0,47070.0,192867.0,624.0,218827.0,4617.0,29696.0,467.0,2200623.0,185457.0,1013921.0,246916.0,425083.0,47702.0,84796.0,34226.0
India,IND,2015,1,45025.0,801613.0,24094.0,50605.0,56352.0,38837.0,66792.0,6986.0,445845.0,201060.0,44105.0,463048.0,559843.0,20753.0,1152.0,674059.0,13571.0,37961.0,180206.0,724.0,235067.0,4298.0,22448.0,387.0,2289079.0,195704.0,1065412.0,247930.0,427616.0,38167.0,98764.0,37450.0
Indonesia,IDN,2007,1,10001.0,164406.0,1671.0,2376.0,7087.0,2669.0,2791.0,467.0,109058.0,43361.0,11225.0,54227.0,72361.0,578.0,694.0,79695.0,124.0,17906.0,7725.0,37.0,63071.0,896.0,16285.0,0.0,484163.0,34407.0,93117.0,79592.0,112629.0,7401.0,17364.0,5285.0
Indonesia,IDN,2008,10,9608.0,168946.0,1636.0,2261.0,7051.0,2600.0,2882.0,474.0,106904.0,41950.0,10617.0,53221.0,70046.0,586.0,132.0,77723.0,126.0,18472.0,7704.0,7.0,67098.0,940.0,16862.0,0.0,500374.0,35225.0,93640.0,80826.0,113979.0,6703.0,17867.0,5476.0
Indonesia,IDN,2009,0,9183.0,173532.0,1632.0,3012.0,6946.0,2540.0,3095.0,479.0,104609.0,40737.0,10075.0,51750.0,67620.0,593.0,1497.0,75605.0,126.0,18940.0,7691.0,53.0,70947.0,969.0,17355.0,15.0,514806.0,35997.0,94419.0,81959.0,115272.0,6235.0,18357.0,5649.0
Indonesia,IDN,2013,5,7915.0,193469.0,1544.0,1480.0,6102.0,2367.0,4852.0,517.0,89584.0,37777.0,7634.0,47309.0,54739.0,611.0,173.0,66978.0,127.0,20669.0,7474.0,43.0,87432.0,985.0,19087.0,23.0,573039.0,37624.0,95674.0,84230.0,119354.0,5799.0,20365.0,6392.0
Indonesia,IDN,2015,14,6946.0,202962.0,1529.0,979.0,5630.0,2311.0,5316.0,542.0,83909.0,36868.0,6520.0,46032.0,48419.0,617.0,54.0,64578.0,136.0,21526.0,7410.0,34.0,95843.0,975.0,19855.0,22.0,603096.0,38126.0,96559.0,83201.0,119335.0,5912.0,21485.0,6737.0
Indonesia,IDN,2016,4,6469.0,209282.0,1483.0,1077.0,5393.0,2296.0,5340.0,549.0,82533.0,36866.0,6132.0,45232.0,45203.0,626.0,270.0,63106.0,135.0,21104.0,7454.0,41.0,99125.0,964.0,19428.0,22.0,614602.0,39406.0,97605.0,84434.0,120717.0,5825.0,22082.0,6970.0
Iran,IRN,2007,317,909.0,41218.0,2671.0,20.0,1675.0,2159.0,436.0,3664.0,816.0,29819.0,377.0,9943.0,21408.0,205.0,24.0,1238.0,65.0,295.0,4772.0,96.0,7257.0,1293.0,266.0,24.0,135804.0,8421.0,12576.0,5609.0,8851.0,458.0,7368.0,1750.0
Iran,IRN,2008,346,891.0,42918.0,2540.0,13.0,1567.0,2289.0,472.0,3753.0,833.0,28965.0,363.0,10018.0,20720.0,206.0,58.0,1204.0,66.0,297.0,4775.0,143.0,7677.0,1248.0,266.0,26.0,136647.0,8666.0,12817.0,5675.0,9021.0,449.0,7847.0,1825.0
Iran,IRN,2009,388,874.0,44685.0,2405.0,3.0,1464.0,2423.0,509.0,3713.0,873.0,27972.0,355.0,10137.0,20141.0,208.0,0.0,1150.0,68.0,282.0,4753.0,255.0,8152.0,1195.0,248.0,97.0,138683.0,8905.0,13147.0,5692.0,9141.0,441.0,8405.0,1918.0
Iran,IRN,2010,252,863.0,46722.0,2316.0,1.0,1398.0,2520.0,566.0,3689.0,878.0,27212.0,359.0,10266.0,19711.0,212.0,20.0,1115.0,70.0,280.0,4816.0,211.0,8671.0,1152.0,243.0,115.0,140466.0,9280.0,13549.0,5751.0,9326.0,434.0,8959.0,2027.0
Iran,IRN,2011,360,849.0,48991.0,2201.0,1.0,1307.0,2502.0,646.0,3551.0,863.0,26257.0,353.0,10285.0,19300.0,216.0,2.0,1113.0,71.0,269.0,4802.0,224.0,9022.0,1094.0,228.0,18.0,141549.0,9604.0,13881.0,5877.0,9594.0,431.0,9493.0,2115.0
Iran,IRN,2012,314,848.0,51230.0,2114.0,0.0,1251.0,2531.0,718.0,3377.0,883.0,25356.0,342.0,10296.0,18946.0,220.0,324.0,1096.0,73.0,261.0,4783.0,29.0,9646.0,1024.0,215.0,12.0,143509.0,9747.0,14236.0,5947.0,9822.0,432.0,10043.0,2195.0
Iran,IRN,2013,369,847.0,53763.0,2036.0,0.0,1201.0,2558.0,779.0,3135.0,918.0,24364.0,329.0,10349.0,18303.0,224.0,69.0,1096.0,75.0,265.0,4771.0,29.0,10783.0,964.0,211.0,39.0,147346.0,10008.0,14757.0,5975.0,10062.0,437.0,10647.0,2319.0
Iran,IRN,2014,289,703.0,56475.0,1940.0,0.0,1103.0,2549.0,835.0,3022.0,931.0,23049.0,309.0,10259.0,17135.0,228.0,54.0,1076.0,74.0,261.0,4729.0,29.0,11863.0,886.0,203.0,13.0,151443.0,10416.0,15217.0,6069.0,10311.0,442.0,11233.0,2440.0
Iran,IRN,2015,977,674.0,59217.0,1845.0,0.0,1012.0,2530.0,887.0,2904.0,924.0,21850.0,278.0,10214.0,15044.0,232.0,63.0,1046.0,73.0,249.0,4676.0,77.0,12976.0,826.0,190.0,38.0,157398.0,11052.0,15706.0,6188.0,10560.0,449.0,11844.0,2582.0
Iran,IRN,2016,156,628.0,61079.0,1787.0,0.0,948.0,2461.0,945.0,2855.0,898.0,21158.0,252.0,10057.0,11639.0,236.0,39.0,1011.0,76.0,243.0,4656.0,210.0,13660.0,795.0,184.0,12.0,161815.0,11502.0,15999.0,6303.0,10754.0,447.0,12391.0,2674.0
Iraq,IRQ,2007,33,978.0,13553.0,1093.0,0.0,1118.0,3590.0,58.0,424.0,1303.0,5471.0,605.0,5297.0,14510.0,41.0,0.0,2012.0,33.0,282.0,1392.0,37739.0,6063.0,137.0,257.0,6667.0,56755.0,5270.0,2842.0,2136.0,3003.0,196.0,2130.0,485.0
Iraq,IRQ,2008,34,934.0,14437.0,1075.0,0.0,1085.0,3793.0,62.0,436.0,1259.0,5451.0,565.0,5001.0,13940.0,41.0,5.0,1986.0,33.0,262.0,1403.0,15122.0,6301.0,134.0,238.0,2864.0,58827.0,5433.0,2924.0,2229.0,3121.0,195.0,2194.0,506.0
Iraq,IRQ,2009,120,893.0,14879.0,1070.0,0.0,1068.0,4110.0,64.0,450.0,1235.0,5537.0,548.0,4728.0,13427.0,43.0,2.0,1848.0,27.0,239.0,1515.0,8999.0,6366.0,133.0,217.0,2585.0,60270.0,5581.0,2892.0,2291.0,3193.0,180.0,2263.0,528.0
Iraq,IRQ,2010,1,851.0,15789.0,1097.0,0.0,1064.0,4375.0,68.0,470.0,1190.0,5633.0,534.0,4439.0,12889.0,44.0,0.0,1732.0,23.0,216.0,1626.0,7044.0,6438.0,133.0,197.0,2074.0,61448.0,5733.0,2859.0,2359.0,3270.0,166.0,2328.0,548.0
Iraq,IRQ,2011,68,810.0,16756.0,1058.0,0.0,1033.0,4585.0,76.0,493.0,1139.0,5749.0,517.0,4172.0,12326.0,46.0,6.0,1543.0,20.0,195.0,1735.0,6837.0,6572.0,133.0,178.0,1870.0,62570.0,5870.0,2835.0,2414.0,3328.0,154.0,2412.0,568.0
Iraq,IRQ,2012,129,700.0,17908.0,1051.0,0.0,1015.0,4818.0,81.0,510.0,1089.0,5832.0,492.0,3937.0,11722.0,47.0,5.0,1298.0,18.0,177.0,1841.0,8202.0,6697.0,132.0,161.0,2686.0,63548.0,5996.0,2802.0,2431.0,3335.0,142.0,2493.0,589.0
Iraq,IRQ,2013,169,666.0,19164.0,1035.0,0.0,987.0,4903.0,84.0,525.0,1060.0,5867.0,470.0,3765.0,11093.0,48.0,12.0,1087.0,16.0,162.0,1961.0,18796.0,6865.0,131.0,147.0,7041.0,64463.0,6184.0,2780.0,2442.0,3338.0,133.0,2579.0,616.0
Iraq,IRQ,2014,61,642.0,20123.0,1019.0,0.0,994.0,5014.0,85.0,539.0,1067.0,5869.0,457.0,3633.0,10461.0,50.0,0.0,949.0,15.0,149.0,1987.0,37209.0,7174.0,133.0,135.0,13965.0,65672.0,6430.0,2803.0,2436.0,3320.0,127.0,2676.0,643.0
Iraq,IRQ,2015,26,613.0,20714.0,1003.0,0.0,957.0,4985.0,84.0,545.0,1059.0,5930.0,437.0,3497.0,9732.0,51.0,58.0,836.0,15.0,138.0,2015.0,29814.0,7476.0,131.0,124.0,8885.0,67627.0,6619.0,2847.0,2437.0,3313.0,124.0,2763.0,663.0
Iraq,IRQ,2016,88,585.0,21435.0,1004.0,0.0,926.0,5025.0,83.0,552.0,1040.0,5912.0,420.0,3391.0,9030.0,52.0,0.0,752.0,92.0,127.0,2032.0,31752.0,7823.0,130.0,114.0,12207.0,69311.0,6824.0,2905.0,2459.0,3331.0,120.0,2872.0,688.0
Jamaica,JAM,2007,0,25.0,3377.0,20.0,0.0,12.0,768.0,499.0,4.0,11.0,172.0,26.0,394.0,548.0,9.0,5.0,35.0,1.0,70.0,64.0,0.0,1915.0,4.0,64.0,0.0,4788.0,705.0,607.0,155.0,429.0,1.0,635.0,124.0
Japan,JPN,2008,15,485.0,379320.0,1807.0,0.0,6878.0,896.0,205.0,454.0,4119.0,8798.0,62.0,94915.0,844.0,682.0,47.0,2669.0,1673.0,1416.0,32392.0,0.0,7875.0,459.0,1085.0,0.0,308531.0,35510.0,42712.0,25468.0,50378.0,158.0,102846.0,11711.0
Japan,JPN,2009,7,492.0,384511.0,1773.0,0.0,7025.0,851.0,201.0,461.0,3954.0,8466.0,67.0,96236.0,791.0,679.0,89.0,2762.0,1711.0,1448.0,32006.0,0.0,7924.0,452.0,1104.0,0.0,310058.0,36376.0,43555.0,25468.0,51074.0,143.0,110223.0,12128.0
Japan,JPN,2013,8,400.0,414556.0,1889.0,0.0,7837.0,724.0,209.0,465.0,3722.0,7390.0,52.0,105075.0,651.0,675.0,103.0,3274.0,2053.0,1638.0,28632.0,0.0,8190.0,371.0,1224.0,0.0,332417.0,40340.0,48711.0,25826.0,55545.0,109.0,135021.0,14484.0
Japan,JPN,2014,3,401.0,417643.0,1638.0,0.0,7853.0,741.0,186.0,467.0,3622.0,7122.0,45.0,105186.0,618.0,672.0,321.0,3303.0,2010.0,1653.0,27577.0,0.0,8141.0,350.0,1236.0,0.0,333175.0,40534.0,49376.0,25595.0,55957.0,103.0,140066.0,14836.0
Japan,JPN,2015,3,401.0,420328.0,1589.0,0.0,7853.0,718.0,197.0,460.0,3563.0,6898.0,50.0,106524.0,581.0,677.0,41.0,3352.0,2265.0,1684.0,26434.0,0.0,8116.0,332.0,1257.0,0.0,336271.0,40938.0,50295.0,25390.0,56534.0,101.0,146012.0,15145.0
Japan,JPN,2016,3,405.0,425630.0,1573.0,0.0,7939.0,706.0,189.0,465.0,3595.0,6768.0,45.0,108180.0,555.0,676.0,107.0,3453.0,2068.0,1726.0,25559.0,38.0,8214.0,317.0,1293.0,19.0,342935.0,41716.0,51589.0,25479.0,57565.0,99.0,151061.0,15570.0
Jordan,JOR,2014,11,68.0,3958.0,155.0,0.0,108.0,284.0,26.0,11.0,24.0,966.0,70.0,846.0,1522.0,12.0,0.0,61.0,3.0,12.0,186.0,1.0,1459.0,49.0,11.0,1.0,8052.0,1277.0,593.0,449.0,768.0,8.0,504.0,125.0
Jordan,JOR,2015,2,72.0,4234.0,162.0,0.0,111.0,297.0,27.0,12.0,24.0,1011.0,69.0,883.0,1549.0,12.0,1.0,61.0,3.0,13.0,197.0,8.0,1521.0,49.0,11.0,7.0,8600.0,1375.0,630.0,479.0,822.0,9.0,546.0,136.0
Kenya,KEN,2007,0,5116.0,14604.0,671.0,8480.0,598.0,3551.0,104536.0,56.0,17149.0,3873.0,4066.0,22494.0,20713.0,239.0,39.0,26414.0,222.0,5409.0,2487.0,566.0,4192.0,729.0,5241.0,33.0,29093.0,3152.0,6037.0,10091.0,15544.0,1330.0,1766.0,393.0
Kenya,KEN,2008,0,5113.0,15287.0,685.0,7374.0,602.0,4098.0,95338.0,59.0,17366.0,3975.0,4057.0,22451.0,20642.0,247.0,65.0,26306.0,227.0,5218.0,2516.0,1876.0,4300.0,767.0,5056.0,103.0,29924.0,3250.0,6195.0,10447.0,16063.0,1366.0,1812.0,405.0
Kenya,KEN,2009,0,5189.0,16101.0,758.0,5962.0,622.0,3906.0,87459.0,62.0,17573.0,4059.0,4087.0,22610.0,20657.0,254.0,36.0,26573.0,234.0,5162.0,2568.0,326.0,4432.0,803.0,5004.0,0.0,30792.0,3367.0,6365.0,10788.0,16561.0,1411.0,1863.0,418.0
Libya,LBY,2007,9,49.0,3370.0,120.0,0.0,98.0,116.0,56.0,113.0,61.0,1781.0,36.0,627.0,804.0,16.0,0.0,83.0,4.0,14.0,259.0,0.0,509.0,56.0,12.0,0.0,7982.0,822.0,742.0,512.0,790.0,34.0,690.0,119.0
Libya,LBY,2008,8,49.0,3562.0,126.0,0.0,103.0,125.0,59.0,129.0,61.0,1911.0,40.0,655.0,743.0,17.0,0.0,78.0,4.0,15.0,287.0,40.0,547.0,59.0,12.0,0.0,8216.0,876.0,778.0,528.0,814.0,34.0,724.0,130.0
Malaysia,MYS,2008,1,291.0,20346.0,249.0,29.0,736.0,705.0,2001.0,85.0,2074.0,6329.0,268.0,11733.0,1494.0,145.0,7.0,988.0,13.0,179.0,1316.0,0.0,3020.0,182.0,171.0,0.0,42076.0,3900.0,5865.0,3342.0,7179.0,217.0,2253.0,576.0
Malaysia,MYS,2013,2,254.0,23242.0,255.0,8.0,686.0,645.0,2611.0,96.0,1809.0,6422.0,231.0,17305.0,1281.0,148.0,5.0,1095.0,11.0,182.0,1373.0,72.0,2516.0,174.0,175.0,2.0,44025.0,4424.0,5246.0,3691.0,7657.0,177.0,2672.0,678.0
Malaysia,MYS,2014,2,268.0,24611.0,267.0,7.0,723.0,633.0,2622.0,102.0,1859.0,6668.0,246.0,18556.0,1485.0,153.0,19.0,1132.0,12.0,191.0,1447.0,1.0,2654.0,180.0,184.0,1.0,46359.0,4691.0,5518.0,3883.0,8015.0,181.0,2808.0,728.0
Malaysia,MYS,2015,>1,282.0,25722.0,276.0,5.0,752.0,619.0,2516.0,108.0,1871.0,6840.0,249.0,19232.0,1651.0,157.0,25.0,1169.0,12.0,200.0,1510.0,3.0,2820.0,185.0,193.0,1.0,48228.0,4895.0,5799.0,4033.0,8319.0,185.0,2951.0,768.0
Malaysia,MYS,2016,9,279.0,27133.0,285.0,3.0,753.0,612.0,2340.0,116.0,1918.0,7075.0,246.0,20107.0,1433.0,162.0,0.0,1220.0,12.0,211.0,1596.0,6.0,3051.0,191.0,204.0,6.0,51106.0,5225.0,6259.0,4240.0,8807.0,190.0,3134.0,840.0
Nigeria,NGA,2007,0,57314.0,55609.0,4142.0,267368.0,3883.0,10074.0,100730.0,161.0,55797.0,17720.0,20349.0,208401.0,192018.0,961.0,91.0,253568.0,909.0,9382.0,6814.0,628.0,18828.0,3954.0,8823.0,82.0,133656.0,16026.0,22170.0,35595.0,61219.0,3678.0,8602.0,2342.0
Nigeria,NGA,2008,0,56276.0,57021.0,3986.0,280604.0,3745.0,10124.0,95773.0,165.0,52577.0,17507.0,19930.0,202257.0,194666.0,966.0,0.0,246594.0,892.0,8850.0,6883.0,913.0,19065.0,3870.0,8301.0,72.0,133744.0,16136.0,22244.0,35955.0,61813.0,3501.0,8938.0,2447.0
Nigeria,NGA,2009,0,59349.0,59145.0,4004.0,276715.0,3733.0,10223.0,89799.0,172.0,51184.0,17658.0,20001.0,199250.0,197097.0,987.0,31.0,243669.0,895.0,8663.0,7122.0,2668.0,19485.0,3857.0,8110.0,316.0,135318.0,16430.0,22529.0,36699.0,62992.0,3400.0,9213.0,2533.0
Nigeria,NGA,2013,4,52141.0,70387.0,4042.0,227310.0,3458.0,12037.0,77539.0,220.0,48787.0,18610.0,19685.0,191077.0,204573.0,1123.0,19.0,215679.0,910.0,7542.0,7613.0,6260.0,21835.0,3809.0,6984.0,2014.0,146744.0,17827.0,23880.0,39606.0,68184.0,3040.0,10472.0,2917.0
Nigeria,NGA,2016,3,49572.0,75842.0,4157.0,186482.0,3505.0,13090.0,77599.0,246.0,50424.0,19370.0,18441.0,191915.0,202317.0,1164.0,46.0,200794.0,962.0,6884.0,7624.0,5064.0,22964.0,3834.0,6317.0,2165.0,155266.0,19144.0,24038.0,38874.0,68094.0,2761.0,11041.0,3053.0
Pakistan,PAK,2007,135,25319.0,125500.0,2424.0,3946.0,2997.0,12804.0,804.0,702.0,77007.0,14762.0,18097.0,77098.0,281495.0,1596.0,911.0,94786.0,370.0,12407.0,13447.0,2150.0,30181.0,2251.0,7602.0,1406.0,266758.0,31501.0,76093.0,35523.0,51479.0,8548.0,7870.0,3095.0
Pakistan,PAK,2008,36,25164.0,129673.0,2549.0,3163.0,3254.0,13418.0,913.0,734.0,76179.0,15446.0,18159.0,80081.0,283620.0,1632.0,249.0,98703.0,391.0,13845.0,13729.0,4676.0,31519.0,2412.0,8699.0,1184.0,271526.0,32623.0,76380.0,36354.0,52532.0,8729.0,7994.0,3150.0
Pakistan,PAK,2009,0,25780.0,133173.0,2587.0,4945.0,3325.0,13384.0,1043.0,762.0,74408.0,15877.0,18007.0,80657.0,283108.0,1665.0,102.0,99408.0,407.0,14369.0,13938.0,8105.0,32859.0,2484.0,9201.0,1487.0,275938.0,33559.0,76536.0,37068.0,53403.0,8790.0,8123.0,3209.0
Pakistan,PAK,2012,1,20011.0,143873.0,2569.0,9847.0,3347.0,13926.0,1775.0,822.0,71510.0,16756.0,17444.0,77902.0,279643.0,1774.0,671.0,95625.0,425.0,15033.0,14645.0,6963.0,36807.0,2564.0,9514.0,2784.0,292618.0,36359.0,78053.0,38796.0,55573.0,8757.0,8665.0,3427.0
Pakistan,PAK,2014,7,20300.0,154842.0,2740.0,3275.0,3581.0,12315.0,2418.0,863.0,68943.0,18002.0,17559.0,77899.0,278712.0,1897.0,271.0,90732.0,568.0,16120.0,15758.0,6325.0,40172.0,2110.0,10090.0,2413.0,307223.0,39008.0,79506.0,40482.0,57615.0,8963.0,9209.0,3642.0
Pakistan,PAK,2015,326,20247.0,159325.0,2771.0,3922.0,3680.0,12516.0,2758.0,863.0,68586.0,18341.0,17280.0,77245.0,273242.0,1943.0,663.0,88656.0,1663.0,16320.0,16121.0,5041.0,41745.0,2141.0,10121.0,1608.0,313967.0,40165.0,80176.0,40981.0,58255.0,9013.0,9488.0,3753.0
Pakistan,PAK,2016,87,20277.0,164509.0,2850.0,4120.0,3707.0,12872.0,3072.0,866.0,68042.0,18817.0,17144.0,76940.0,270601.0,1999.0,409.0,86393.0,438.0,16908.0,16601.0,2450.0,43530.0,2182.0,10410.0,1113.0,320769.0,41459.0,80844.0,41723.0,59261.0,9015.0,9821.0,3871.0
Palestine,PSE,2009,0,54.0,1830.0,40.0,0.0,53.0,214.0,11.0,3.0,29.0,324.0,37.0,459.0,1675.0,4.0,0.0,53.0,2.0,14.0,76.0,6130.0,687.0,5.0,13.0,7.0,5153.0,627.0,391.0,271.0,401.0,7.0,232.0,62.0
Palestine,PSE,2010,5,51.0,1921.0,39.0,0.0,49.0,236.0,11.0,3.0,27.0,311.0,34.0,442.0,1595.0,4.0,0.0,52.0,2.0,13.0,74.0,668.0,742.0,5.0,12.0,0.0,5256.0,650.0,397.0,283.0,417.0,7.0,242.0,64.0
