ENTITY,CODE,YEAR,NUMBER OF EXECUTIONS (AMNESTY INTERNATIONAL),DEATHS - MENINGITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEOPLASMS - SEX: BOTH - AGE: ALL AGES (NUMBER),"DEATHS - FIRE, HEAT, AND HOT SUBSTANCES - SEX: BOTH - AGE: ALL AGES (NUMBER)",DEATHS - MALARIA - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DROWNING - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - INTERPERSONAL VIOLENCE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - HIV/AIDS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DRUG USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - TUBERCULOSIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ROAD INJURIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - MATERNAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - LOWER RESPIRATORY INFECTIONS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NEONATAL DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALCOHOL USE DISORDERS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - EXPOSURE TO FORCES OF NATURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIARRHEAL DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ENVIRONMENTAL HEAT AND COLD EXPOSURE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - NUTRITIONAL DEFICIENCIES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - SELF-HARM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CONFLICT AND TERRORISM - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIABETES MELLITUS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - POISONINGS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PROTEIN-ENERGY MALNUTRITION - SEX: BOTH - AGE: ALL AGES (NUMBER),TERRORISM (DEATHS),DEATHS - CARDIOVASCULAR DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC KIDNEY DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CHRONIC RESPIRATORY DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - CIRRHOSIS AND OTHER CHRONIC LIVER DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - DIGESTIVE DISEASES - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ACUTE HEPATITIS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - ALZHEIMER'S DISEASE AND OTHER DEMENTIAS - SEX: BOTH - AGE: ALL AGES (NUMBER),DEATHS - PARKINSON'S DISEASE - SEX: BOTH - AGE: ALL AGES (NUMBER)
Palestine,PSE,2011,3,42.0,2022.0,39.0,0.0,49.0,266.0,11.0,4.0,25.0,323.0,31.0,432.0,1502.0,5.0,0.0,50.0,1.0,13.0,80.0,744.0,801.0,5.0,12.0,15.0,5342.0,657.0,403.0,295.0,432.0,7.0,252.0,66.0
Palestine,PSE,2012,6,41.0,2083.0,41.0,0.0,55.0,316.0,12.0,4.0,24.0,363.0,30.0,429.0,1388.0,5.0,0.0,47.0,2.0,13.0,92.0,1124.0,817.0,5.0,12.0,12.0,5220.0,645.0,395.0,298.0,435.0,7.0,261.0,66.0
Palestine,PSE,2013,3,37.0,2185.0,43.0,0.0,58.0,369.0,12.0,5.0,24.0,392.0,28.0,435.0,1279.0,5.0,6.0,43.0,2.0,12.0,104.0,12.0,878.0,5.0,11.0,12.0,5278.0,633.0,401.0,307.0,446.0,7.0,272.0,68.0
Palestine,PSE,2014,2,34.0,2345.0,42.0,0.0,55.0,429.0,12.0,6.0,25.0,368.0,24.0,455.0,1186.0,6.0,0.0,41.0,2.0,12.0,109.0,75.0,1007.0,5.0,11.0,67.0,5647.0,640.0,430.0,320.0,467.0,7.0,286.0,75.0
Palestine,PSE,2016,3,30.0,2575.0,41.0,0.0,49.0,360.0,13.0,6.0,26.0,382.0,22.0,484.0,1007.0,6.0,0.0,35.0,2.0,12.0,111.0,139.0,1171.0,5.0,11.0,90.0,6162.0,617.0,453.0,333.0,488.0,6.0,308.0,84.0
Saudi Arabia,SAU,2007,143,191.0,8116.0,505.0,2.0,593.0,238.0,442.0,117.0,1692.0,14378.0,289.0,3753.0,3391.0,67.0,0.0,424.0,8.0,75.0,810.0,5.0,2175.0,181.0,72.0,3.0,36026.0,5036.0,3107.0,2924.0,3801.0,55.0,1226.0,450.0
Saudi Arabia,SAU,2009,69,169.0,8663.0,545.0,0.0,644.0,286.0,487.0,115.0,1754.0,16051.0,299.0,4036.0,2770.0,71.0,161.0,384.0,8.0,70.0,984.0,5.0,2176.0,191.0,66.0,5.0,37703.0,5381.0,3184.0,2922.0,3812.0,53.0,1295.0,471.0
Saudi Arabia,SAU,2011,82,170.0,9213.0,611.0,0.0,705.0,345.0,537.0,94.0,1650.0,17698.0,296.0,4178.0,2259.0,71.0,11.0,356.0,10.0,68.0,1294.0,3.0,2208.0,212.0,64.0,3.0,38295.0,5614.0,3299.0,2974.0,3872.0,57.0,1360.0,482.0
Saudi Arabia,SAU,2012,79,171.0,9504.0,659.0,0.0,718.0,368.0,561.0,95.0,1572.0,18338.0,289.0,4192.0,2042.0,73.0,19.0,351.0,10.0,67.0,1410.0,4.0,2215.0,219.0,62.0,4.0,38504.0,5645.0,3312.0,3031.0,3942.0,58.0,1393.0,487.0
Saudi Arabia,SAU,2013,79,172.0,9921.0,645.0,0.0,717.0,383.0,583.0,114.0,1525.0,18683.0,285.0,4247.0,1861.0,78.0,39.0,341.0,10.0,66.0,1464.0,1.0,2294.0,224.0,61.0,1.0,39159.0,5752.0,3354.0,3117.0,4045.0,58.0,1434.0,495.0
Saudi Arabia,SAU,2014,90,173.0,10392.0,674.0,0.0,720.0,401.0,604.0,128.0,1479.0,19183.0,280.0,4310.0,1700.0,82.0,0.0,337.0,10.0,66.0,1527.0,20.0,2393.0,228.0,61.0,20.0,39738.0,5921.0,3405.0,3210.0,4159.0,59.0,1480.0,505.0
Saudi Arabia,SAU,2015,158,171.0,10814.0,702.0,0.0,719.0,407.0,622.0,140.0,1427.0,19526.0,271.0,4342.0,1552.0,85.0,23.0,331.0,10.0,65.0,1574.0,323.0,2476.0,231.0,60.0,213.0,41019.0,6052.0,3431.0,3276.0,4233.0,60.0,1507.0,509.0
Saudi Arabia,SAU,2016,154,174.0,11345.0,680.0,1.0,722.0,409.0,639.0,155.0,1394.0,20009.0,265.0,4422.0,1427.0,90.0,24.0,330.0,10.0,65.0,1624.0,275.0,2588.0,236.0,60.0,162.0,41765.0,6250.0,3491.0,3388.0,4367.0,62.0,1551.0,520.0
Somalia,SOM,2007,5,3835.0,5538.0,469.0,2547.0,687.0,1629.0,4263.0,12.0,16558.0,2583.0,2463.0,19036.0,15917.0,101.0,25.0,19342.0,183.0,8263.0,915.0,2301.0,1784.0,460.0,8104.0,408.0,12483.0,1281.0,2844.0,2768.0,4388.0,1070.0,281.0,85.0
Somalia,SOM,2009,0,4311.0,5977.0,527.0,1075.0,788.0,2409.0,4148.0,14.0,17448.0,2814.0,2552.0,20665.0,16739.0,107.0,0.0,17754.0,197.0,8764.0,970.0,1919.0,1936.0,510.0,8608.0,381.0,13486.0,1406.0,3070.0,2916.0,4642.0,1123.0,310.0,93.0
Somalia,SOM,2010,8,4445.0,6146.0,543.0,994.0,813.0,2318.0,4073.0,15.0,17717.0,2887.0,2571.0,21024.0,16951.0,109.0,11.0,17195.0,201.0,18759.0,991.0,3202.0,1997.0,525.0,18261.0,295.0,13895.0,1447.0,3157.0,2969.0,4729.0,1124.0,325.0,98.0
Somalia,SOM,2011,10,4496.0,6300.0,549.0,1111.0,819.0,1927.0,3993.0,15.0,17973.0,2942.0,2603.0,20991.0,17203.0,112.0,0.0,17408.0,205.0,18563.0,1015.0,2609.0,2055.0,531.0,18083.0,344.0,14303.0,1485.0,3229.0,3016.0,4801.0,1105.0,339.0,102.0
Somalia,SOM,2012,6,4547.0,6466.0,556.0,1728.0,825.0,2159.0,3894.0,16.0,18190.0,3003.0,2627.0,20936.0,17505.0,114.0,31.0,16190.0,209.0,8368.0,1040.0,3660.0,2115.0,538.0,8219.0,783.0,14739.0,1524.0,3307.0,3071.0,4886.0,1086.0,356.0,106.0
Somalia,SOM,2013,34,4390.0,6657.0,563.0,2863.0,832.0,1961.0,3797.0,17.0,18363.0,3083.0,2680.0,20793.0,17839.0,117.0,169.0,15901.0,213.0,8179.0,1075.0,2040.0,2181.0,547.0,8031.0,660.0,15174.0,1569.0,3393.0,3145.0,5004.0,1055.0,375.0,111.0
Somalia,SOM,2014,14,4403.0,6860.0,568.0,3734.0,832.0,2049.0,3714.0,18.0,18480.0,3160.0,2741.0,20503.0,18188.0,121.0,0.0,15507.0,217.0,7953.0,1113.0,1779.0,2252.0,554.0,7806.0,1589.0,15698.0,1615.0,3483.0,3233.0,5138.0,1024.0,395.0,116.0
Somalia,SOM,2015,25,4403.0,7066.0,570.0,3970.0,825.0,2136.0,3612.0,19.0,18629.0,3236.0,2806.0,20151.0,18532.0,125.0,0.0,15350.0,221.0,7658.0,1155.0,1713.0,2328.0,559.0,7512.0,1447.0,16256.0,1664.0,3574.0,3332.0,5289.0,987.0,417.0,121.0
Somalia,SOM,2016,14,4507.0,7297.0,585.0,3953.0,845.0,2288.0,3492.0,20.0,18973.0,3365.0,2875.0,20353.0,18931.0,129.0,9.0,16127.0,228.0,7648.0,1197.0,2586.0,2401.0,575.0,7501.0,1583.0,16811.0,1720.0,3680.0,3445.0,5474.0,956.0,439.0,126.0
South Sudan,SSD,2012,5,2635.0,3718.0,240.0,4855.0,288.0,1161.0,6271.0,9.0,4736.0,1034.0,751.0,10126.0,11155.0,49.0,47.0,8316.0,80.0,3576.0,401.0,831.0,1007.0,192.0,3521.0,68.0,6419.0,852.0,1271.0,1586.0,2574.0,251.0,410.0,87.0
South Sudan,SSD,2013,4,2675.0,3782.0,244.0,5074.0,296.0,826.0,6178.0,9.0,4785.0,1046.0,747.0,10142.0,10865.0,50.0,99.0,8342.0,81.0,3461.0,404.0,3515.0,1021.0,195.0,3409.0,226.0,6499.0,868.0,1282.0,1605.0,2604.0,247.0,414.0,87.0
South Sudan,SSD,2015,5,2390.0,3853.0,236.0,5171.0,287.0,883.0,5504.0,9.0,4759.0,1011.0,696.0,9494.0,9663.0,50.0,0.0,7930.0,78.0,3039.0,396.0,1833.0,1050.0,188.0,2992.0,218.0,6666.0,888.0,1295.0,1614.0,2607.0,222.0,423.0,90.0
South Sudan,SSD,2016,>1,2240.0,3859.0,225.0,5032.0,271.0,877.0,5045.0,9.0,4606.0,970.0,656.0,8854.0,8835.0,50.0,0.0,7538.0,74.0,2767.0,387.0,1622.0,1061.0,179.0,2723.0,633.0,6711.0,886.0,1290.0,1611.0,2587.0,207.0,428.0,91.0
Sudan,SDN,2007,7,2407.0,12280.0,1502.0,2800.0,1988.0,1498.0,3902.0,223.0,1749.0,7065.0,3180.0,11806.0,31134.0,82.0,150.0,19618.0,71.0,2019.0,1701.0,1631.0,1801.0,843.0,1921.0,317.0,63515.0,3643.0,7365.0,3900.0,5984.0,1662.0,2273.0,532.0
Sudan,SDN,2008,1,1508.0,12572.0,1468.0,2345.0,1924.0,1004.0,3940.0,233.0,1714.0,7083.0,3135.0,11344.0,30562.0,84.0,0.0,18551.0,71.0,1876.0,1740.0,1999.0,1855.0,823.0,1782.0,205.0,63904.0,3694.0,7324.0,3924.0,6023.0,1610.0,2319.0,541.0
Sudan,SDN,2009,9,1435.0,12874.0,1428.0,2103.0,1852.0,2831.0,3953.0,244.0,1664.0,7085.0,3076.0,10855.0,29990.0,85.0,20.0,17303.0,71.0,1725.0,1777.0,2059.0,1918.0,799.0,1634.0,77.0,64399.0,3755.0,7275.0,3937.0,6043.0,1546.0,2365.0,551.0
Sudan,SDN,2010,6,1439.0,13136.0,1359.0,1919.0,1726.0,1335.0,4110.0,254.0,1575.0,7005.0,3008.0,10198.0,29375.0,86.0,36.0,15681.0,69.0,1552.0,1804.0,1504.0,1985.0,758.0,1464.0,81.0,64817.0,3808.0,7207.0,3931.0,6026.0,1475.0,2410.0,562.0
Sudan,SDN,2011,7,1263.0,13431.0,1300.0,1827.0,1618.0,1639.0,4335.0,264.0,1478.0,6956.0,2926.0,9631.0,28660.0,87.0,20.0,13825.0,66.0,1434.0,1815.0,3656.0,2051.0,727.0,1350.0,193.0,65279.0,3848.0,7142.0,3915.0,6018.0,1408.0,2456.0,573.0
Sudan,SDN,2012,19,1236.0,13786.0,1278.0,1867.0,1578.0,710.0,4535.0,276.0,1423.0,7016.0,2858.0,9292.0,27910.0,89.0,35.0,12667.0,66.0,1340.0,1834.0,1886.0,2127.0,712.0,1257.0,60.0,66096.0,3918.0,7125.0,3915.0,6040.0,1363.0,2496.0,585.0
Sudan,SDN,2013,21,952.0,14179.0,1247.0,1945.0,1518.0,1977.0,4704.0,288.0,1382.0,7032.0,2788.0,8766.0,27048.0,90.0,76.0,11566.0,65.0,1240.0,1860.0,1465.0,2217.0,692.0,1159.0,220.0,66745.0,4025.0,7114.0,3908.0,6051.0,1319.0,2537.0,598.0
Sudan,SDN,2014,23,883.0,14698.0,1260.0,2153.0,1536.0,1612.0,4852.0,302.0,1370.0,7165.0,2722.0,8664.0,26330.0,91.0,39.0,11032.0,65.0,1202.0,1886.0,1743.0,2325.0,700.0,1120.0,546.0,67467.0,4203.0,7129.0,3933.0,6118.0,1295.0,2577.0,610.0
Sudan,SDN,2015,3,823.0,15128.0,1223.0,2275.0,1473.0,1559.0,5005.0,314.0,1328.0,7148.0,2652.0,8254.0,25413.0,92.0,20.0,10071.0,80.0,1122.0,1904.0,2305.0,2434.0,677.0,1042.0,210.0,68545.0,4368.0,7101.0,3922.0,6125.0,1240.0,2609.0,623.0
Sudan,SDN,2016,2,792.0,15575.0,1196.0,2553.0,1421.0,860.0,5081.0,331.0,1281.0,7202.0,2606.0,7922.0,24583.0,94.0,171.0,9353.0,63.0,1043.0,1939.0,2344.0,2518.0,660.0,964.0,182.0,69697.0,4456.0,7108.0,3965.0,6199.0,1202.0,2656.0,641.0
Syria,SYR,2008,1,348.0,6991.0,212.0,0.0,215.0,430.0,24.0,150.0,99.0,2253.0,116.0,2685.0,2988.0,66.0,0.0,206.0,26.0,129.0,400.0,193.0,1328.0,105.0,100.0,18.0,35611.0,2066.0,2843.0,1626.0,2118.0,13.0,1110.0,308.0
Taiwan,TWN,2008,0,112.0,42773.0,144.0,0.0,638.0,467.0,160.0,284.0,1014.0,4318.0,21.0,8462.0,448.0,260.0,15.0,61.0,21.0,108.0,4742.0,0.0,9209.0,101.0,99.0,0.0,31649.0,5382.0,7301.0,6795.0,10366.0,9.0,5232.0,1348.0
Taiwan,TWN,2013,6,97.0,48769.0,136.0,0.0,500.0,333.0,176.0,327.0,844.0,3783.0,24.0,10631.0,370.0,417.0,4.0,118.0,24.0,107.0,4152.0,0.0,8962.0,74.0,97.0,0.0,34414.0,6408.0,8162.0,6416.0,10059.0,10.0,6744.0,1638.0
Taiwan,TWN,2014,5,100.0,50916.0,141.0,0.0,496.0,334.0,177.0,362.0,851.0,3798.0,21.0,11384.0,397.0,440.0,0.0,130.0,25.0,109.0,4184.0,0.0,9350.0,74.0,99.0,0.0,36171.0,6824.0,8586.0,6557.0,10355.0,10.0,7122.0,1746.0
Taiwan,TWN,2016,1,101.0,53194.0,143.0,0.0,494.0,296.0,209.0,422.0,846.0,3762.0,27.0,12544.0,411.0,458.0,115.0,143.0,26.0,114.0,4191.0,0.0,9866.0,72.0,104.0,0.0,38294.0,7425.0,9178.0,6660.0,10680.0,10.0,7826.0,1882.0
Thailand,THA,2007,0,1231.0,81637.0,635.0,170.0,5473.0,6019.0,19395.0,401.0,8493.0,20880.0,519.0,15463.0,3976.0,641.0,53.0,5132.0,39.0,758.0,7409.0,782.0,12113.0,242.0,689.0,264.0,86179.0,17032.0,22047.0,14607.0,23855.0,261.0,11384.0,2404.0
Thailand,THA,2008,0,1176.0,83758.0,641.0,135.0,5391.0,5662.0,17638.0,373.0,8320.0,20629.0,493.0,16554.0,3726.0,630.0,39.0,5145.0,38.0,750.0,7256.0,496.0,12305.0,232.0,685.0,166.0,86877.0,17752.0,21937.0,15017.0,24597.0,259.0,11944.0,2519.0
Thailand,THA,2009,2,1125.0,85440.0,706.0,124.0,5290.0,5266.0,16590.0,347.0,8112.0,20110.0,459.0,17524.0,3339.0,616.0,18.0,5128.0,37.0,738.0,7039.0,530.0,12370.0,219.0,676.0,270.0,86890.0,18294.0,21705.0,15293.0,25136.0,257.0,12485.0,2605.0
United Arab Emirates,ARE,2014,1,49.0,3528.0,175.0,0.0,164.0,115.0,136.0,705.0,105.0,3543.0,12.0,425.0,139.0,63.0,0.0,46.0,12.0,7.0,636.0,1.0,791.0,40.0,3.0,1.0,5590.0,967.0,1295.0,321.0,481.0,53.0,80.0,54.0
United States,USA,2007,42,1249.0,625940.0,4301.0,0.0,3864.0,19370.0,12444.0,28251.0,953.0,46498.0,1062.0,69811.0,15210.0,10895.0,240.0,9586.0,1201.0,4238.0,39352.0,1031.0,73228.0,1414.0,3861.0,0.0,836120.0,72852.0,172341.0,51575.0,103120.0,152.0,114585.0,23705.0
United States,USA,2008,37,1223.0,637146.0,3927.0,0.0,3819.0,18716.0,11400.0,29263.0,926.0,44535.0,1103.0,69921.0,14606.0,11191.0,231.0,10287.0,1186.0,4280.0,40357.0,487.0,72592.0,1435.0,3907.0,2.0,833165.0,76152.0,177366.0,53086.0,105255.0,144.0,117064.0,24369.0
United States,USA,2009,52,1186.0,644331.0,3753.0,0.0,3753.0,17944.0,10551.0,30482.0,891.0,42561.0,1080.0,68989.0,13675.0,11476.0,125.0,10637.0,1176.0,4277.0,41273.0,502.0,71235.0,1448.0,3924.0,18.0,823362.0,78863.0,179468.0,54496.0,106814.0,137.0,118965.0,24760.0
United States,USA,2010,46,1141.0,648290.0,3504.0,0.0,3684.0,17329.0,9143.0,31798.0,868.0,40874.0,991.0,68625.0,12837.0,11831.0,177.0,10928.0,1184.0,4367.0,41719.0,579.0,69915.0,1443.0,4024.0,4.0,820215.0,82391.0,182265.0,55472.0,108110.0,129.0,121781.0,25309.0
United States,USA,2011,43,1126.0,659516.0,3714.0,0.0,3669.0,17224.0,8428.0,34070.0,862.0,40383.0,1050.0,69967.0,12602.0,12227.0,828.0,11327.0,1208.0,4538.0,42805.0,489.0,68571.0,1477.0,4192.0,0.0,830800.0,86464.0,187463.0,57598.0,111120.0,124.0,124656.0,26123.0
United States,USA,2012,43,1108.0,668318.0,3416.0,0.0,3647.0,17577.0,7973.0,36284.0,858.0,39985.0,1090.0,70573.0,12455.0,12635.0,235.0,11466.0,1206.0,4707.0,43395.0,326.0,67741.0,1485.0,4360.0,7.0,837102.0,89367.0,191590.0,59351.0,113403.0,121.0,127120.0,26781.0
United States,USA,2013,39,1106.0,678428.0,3831.0,0.0,3606.0,16767.0,7682.0,39366.0,871.0,39785.0,1172.0,72196.0,12376.0,13089.0,216.0,11553.0,1231.0,4943.0,44026.0,170.0,67235.0,1501.0,4601.0,23.0,847344.0,92802.0,196459.0,61199.0,116058.0,120.0,129640.0,27531.0
United States,USA,2014,35,1102.0,689157.0,3798.0,0.0,3627.0,16618.0,7413.0,43517.0,879.0,40155.0,1188.0,73161.0,12284.0,13542.0,235.0,11541.0,1268.0,5268.0,44950.0,91.0,67583.0,1540.0,4918.0,26.0,858443.0,96182.0,200484.0,63045.0,118754.0,120.0,131616.0,28193.0
United States,USA,2015,28,1115.0,700941.0,3822.0,0.0,3727.0,18164.0,7089.0,49086.0,900.0,41198.0,1200.0,74766.0,12235.0,14005.0,287.0,11625.0,1304.0,5661.0,46209.0,74.0,68860.0,1591.0,5301.0,54.0,876853.0,99915.0,205998.0,64842.0,121845.0,120.0,134411.0,29081.0
United States,USA,2016,20,1131.0,715197.0,3899.0,0.0,3846.0,19254.0,7430.0,56028.0,927.0,42360.0,1252.0,75385.0,12035.0,14347.0,252.0,11572.0,1370.0,5952.0,47550.0,57.0,70534.0,1642.0,5586.0,68.0,892268.0,102601.0,209980.0,66395.0,124438.0,120.0,136673.0,29748.0
Yemen,YEM,2007,15,706.0,8249.0,804.0,3643.0,917.0,593.0,252.0,133.0,953.0,9808.0,1994.0,8060.0,26055.0,54.0,99.0,13061.0,37.0,1892.0,1091.0,24.0,1066.0,428.0,1816.0,24.0,37776.0,1776.0,4262.0,2293.0,3944.0,713.0,1086.0,256.0
Yemen,YEM,2008,13,710.0,8663.0,825.0,2387.0,931.0,641.0,258.0,145.0,949.0,10214.0,2084.0,7981.0,26039.0,57.0,90.0,12388.0,38.0,1797.0,1169.0,95.0,1122.0,439.0,1722.0,74.0,39045.0,1846.0,4372.0,2367.0,4065.0,689.0,1136.0,269.0
Yemen,YEM,2009,30,698.0,8910.0,812.0,2859.0,911.0,658.0,257.0,150.0,935.0,10144.0,2001.0,7772.0,25803.0,58.0,11.0,11514.0,38.0,1670.0,1175.0,141.0,1163.0,432.0,1597.0,47.0,39807.0,1896.0,4422.0,2394.0,4113.0,650.0,1182.0,279.0
Yemen,YEM,2010,53,675.0,9075.0,780.0,4394.0,868.0,656.0,261.0,150.0,892.0,9802.0,1814.0,7458.0,25196.0,57.0,22.0,10538.0,37.0,1545.0,1130.0,520.0,1197.0,417.0,1475.0,345.0,40277.0,1931.0,4438.0,2396.0,4118.0,600.0,1228.0,289.0
Yemen,YEM,2011,41,537.0,9437.0,780.0,4057.0,858.0,649.0,262.0,161.0,867.0,9969.0,1813.0,7147.0,24663.0,59.0,0.0,9849.0,37.0,1463.0,1171.0,1743.0,1256.0,417.0,1393.0,461.0,41648.0,1997.0,4539.0,2423.0,4194.0,570.0,1282.0,302.0
Yemen,YEM,2012,28,518.0,9731.0,761.0,4410.0,822.0,661.0,268.0,168.0,844.0,9890.0,1748.0,6867.0,23983.0,61.0,0.0,8602.0,36.0,1348.0,1185.0,3386.0,1310.0,408.0,1280.0,1056.0,42824.0,2055.0,4620.0,2417.0,4206.0,537.0,1337.0,315.0
Yemen,YEM,2013,13,508.0,10142.0,777.0,3955.0,837.0,672.0,280.0,180.0,851.0,10167.0,1739.0,6778.0,23328.0,63.0,40.0,7741.0,37.0,1279.0,1232.0,1206.0,1375.0,415.0,1212.0,624.0,44191.0,2143.0,4746.0,2428.0,4237.0,517.0,1396.0,329.0
Yemen,YEM,2014,22,499.0,10462.0,770.0,4587.0,821.0,1136.0,285.0,188.0,850.0,10178.0,1653.0,6613.0,22400.0,65.0,0.0,6902.0,37.0,1187.0,1241.0,3008.0,1435.0,412.0,1122.0,1353.0,45318.0,2215.0,4825.0,2419.0,4231.0,491.0,1453.0,343.0
Yemen,YEM,2015,8,509.0,10900.0,791.0,4196.0,837.0,1087.0,287.0,201.0,877.0,10522.0,1659.0,6585.0,21614.0,68.0,26.0,6441.0,38.0,1131.0,1302.0,7747.0,1507.0,421.0,1067.0,2374.0,47307.0,2311.0,4981.0,2460.0,4308.0,480.0,1510.0,357.0
